FirstName,LastName,twitter handle,election label
Bill,Nelson,@NelsonForSenate,no
Rand,Paul,@DrRandPaul,no
Rob,Portman,@robportman,no
Mark,Pryor,,
Jack,Reed,@SenJackReed,no
Harry,Reid,@SenatorReid,no
Jim,Risch,@JimRisch,no
Pat,Roberts,@PatRoberts,no
Jay,Rockefeller,,
Marco,Rubio,@marcorubio,no
Bernie,Sanders,@BernieSanders,no
Brian,Schatz,@brianschatz,no
Chuck,Schumer,@chuckschumer,no
Tim,Scott,@votetimscott,no
Jeff,Sessions,,
Jeanne,Shaheen,@JeanneShaheen,no
Richard,Shelby,@SenShelby,no
Debbie,Stabenow,@stabenow,no
Jon,Tester,@jontester,yes
John,Thune,@johnthune,no
Pat,Toomey,@PatToomey,no
Mark,Udall,@MarkUdall2014,no
Tom,Udall,@tomudall,no
Dave,Vitter,@DavidVitter,no
Mark,Warner,@MarkWarnerVA,no
Elizabeth,Warren,@elizabethforma,no
Sheldon,Whitehouse,@SheldonforRI,no
Roger,Wicker,@RogerWicker,yes
Ron,Wyden,@RonWyden,no
David,Perdue,@Perduesenate,no
Todd,Young,@ToddYoungIN,no
Joni,Ernst,@joniernst,no
Bill,Cassidy,@BillCassidy,no
Tina,Smith,@TinaSmithMN,no
David,Price,@RepDavidEPrice,no
Bryan,Witt,@wittforprogress,no
Cathy,Myers,@CathyMyersWI,no
Minor,Jack,@jackminorjr, no
